title,company name,location,city,country,type,level,experience,skills,Description,Requirements,Image link
Senior Full Stack Developer,Fotopia,Heliopolis, Cairo,Egypt,['Full Time'],Experienced,· 5 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Engineering', 'Software Development', 'Information Technology (IT)', 'English', 'Computer Science']","We are growing and if you believe you have the right startup mindset for an aggressive growth roadmap, check the job description below and apply. 
We are looking for a Senior Full Stack Engineer who has working experience with modern and cutting-edge technologies including AI and Machine Learning. We would like you to lead and coach a team of highly skilled developers in building state of the art technologies and software products, using tools such as Angular, React, JavaScript, Python, MongoDB, Docker, .NET framework as detailed below.
Solid knowledge and experience in React, TypeScript, HTML5, CSS3, Bootstrap.
Solid experience with both RDBMS and NoSQL databases (MS SQL Server & MongoDB).
Solid experience with C#.NET, ASP.NET MVC, .NET core & Microsoft Development Tools.
Solid Experience in object-oriented programming & software design patterns.
Fair knowledge of Phyton, AI, machine learning concepts is plus.
Fair experience in Microsoft Azure, at least App Services and Azure Storage is plus.
Fair knowledge of Azure DevOps, deploying and automating CI/CD pipelines across multiple environments is plus.
Good knowledge of Docker or Kubernetes is a plus.","Bachelor’s degree in computer science or computer engineering.
Minimum 5 Years of proven work experience, preferably within a technology organization as both a hands-on architect and/or a software engineer.
Excellent command of English language.
Have a keen eye for quality and details.
Very good analytical and creative problem-solving skills.
What we offer:
A startup environment to grow where the sky is the limit!
Top of the market salaries and financial packages.
Stock options based on the position applied to and proven experience.
Medical and social insurance.",https://images.wuzzuf-data.net/files/company_logo/14915161746315ac1851e2e-sm.png
Production Engineer,Metal & Steel Innovation,,Cairo,Egypt,['Full Time'],Experienced,· 2 - 4 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art', 'Quality', 'Furniture Production', 'Manufacturing', 'CNC', 'AutoCAD', 'Architecture', 'Production', 'Quality Control']","The applicant must have meaningful experience in furniture design/engineering, high attention to detail, and strong leadership and communication skills. Sketching/drafting skills and CAD proficiency are a plus. 
Preference is given to candidates with business/entrepreneurial experience.
Review order acknowledgments and monitor production progress; report to sales reps in weekly PM meetings.
Review technical drawings for accuracy and get factory and client’s approval of designs.
Oversee site measurements and installation of custom furniture as needed.
Conduct physical inspections of factories and furniture whenever possible.
Coordinate freight forwarders, warehouses, and local delivery companies to ensure orders are handled properly and delivered on time.
Coordinate service providers to correct mistakes/damages as quickly as possible.
Process claims/chargebacks against vendors as appropriate.
Initiate programs and operate CNC for best quality output.
Read and interpret plans, sketches, and shop drawings.
Work with designers and management to achieve customer satisfaction.
Maintain a high level of production while maintaining quality.
Responding to quick turn-around orders.
Manage the overall daily production activities including (production planning, scheduling, quality assurance, budgeting, etc…)
Assess projects and resources requirements and demands.","Bachelor degree from a reputable university
Experience in Furniture Production is a Must
Excellent computer skills
Minimum 2-4 years of experience in furniture manufacturing plants
Good communication skills
Able to work under pressure
At least 2 years of work experience in operating CNC machines
Ability to work under limited supervision using standard practices.
Experience in Quality Control",https://images.wuzzuf-data.net/files/company_logo/Metal---Steel-Innovation-Egypt-24814-1578263903-sm.png
Data Labeler,Micro Engineering,Heliopolis, Cairo,Egypt,"['Full Time', 'Shift Based']",Entry Level,· 0 - 1 Yrs of Exp,"['R&D/Science', 'IT/Software Development', 'data labeling', 'English', 'Data Entry', 'Administration']","The Data Labeler/annotator role is an entry-level position for individuals who are interested in working in the AI industry. We are looking for candidates who are detail-oriented and adaptable to varying workloads. Your job will include annotating tasks and delivering high-quality labeled datasets by following a clear set of instructions. You will be working cross-functionally with Engineering to deliver high-quality annotated data for automotive.
 Responsibilities
Label machine learning data from clients
Complete tasks in a timely manner, meeting SLA deadlines
Do post-process audits and write error reports on data and tasks
Work in-sync with Team Leads to meet weekly goals","Required Skills:
Detail oriented and can follow complex instructions
Ability to work full-time hours (8-hour workdays)
Ability to work independently, cooperatively, and collaboratively as a team member
Possession of good communication and English language skills
Strong sense of ownership, urgency, and drive
Ability to handle ambiguity and changing priorities",https://images.wuzzuf-data.net/files/company_logo/Micro-Engineering-Egypt-16608-1609868488-sm.png
Odoo Developer & Pre,Elitbuzz,Maadi, Cairo,Egypt,['Full Time'],Experienced,· 5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Software Development', 'SW Development', 'Pre-Sales', 'ERP Implementation', 'ERP Software', 'Communication', 'Communication skills', 'Computer Science']","Implement Odoo ERP for different client verticals-
Design/Configure/Customize/Integrate/Test/Deploy Odoo System based on client requirements & project scope by meeting the project deadlines.
Design & develop new modules, workflows, reports, APIs etc.
Coordination with Project Manager/Business Analyst/Junior developers/client and ensure the successful implementation of all client projects on time.
Takes higher ownership for tasks and duties assigned.
Guide & mentor Junior Developers whenever required. Assign project tasks & track activities of team members.
Build prototypes at scoping stage of projects to support Presales team.
Setup, maintain & monitor Odoo servers -Cloud & On-premise.
Manage source control such as GITLAB.
Odoo database & modules migration
Integrate Odoo with other software applications.
Responsible to deliver multiple projects parallelly.
Support & execute project tasks with onsite/offshore team members.
Post implementation support","Bachelor/Master Degree in computer science or engineering
Minimum 5 years of recent Odoo development & implementation experience.
Ability to work effectively as a team member, demonstrating excellent organizational skills and initiative and flexibility.
Must have sound knowledge of Odoo MVC architecture.
Must have strong technical & functional knowledge of Odoo core modules such as Sales, Purchase, Inventory, Accounting, POS, Ecommerce, Project, Manufacturing, Qweb Reporting, etc.
Knowledge of odoo.sh will be an added advantage. 
Sound knowledge of version control system tools like git and its tools such as Jira, GitHub, Bitbucket, Atlassian.
Skills to research, learn, troubleshoot, debug, and support complex Odoo customizations.
Experience in writing techno functional documentation
Hands-on experience in configuring & installing POS hardware items, Biometric attendance machines etc. with Odoo System.
Strong in Python programming, PostgreSQL, Java Script & Object Oriented Design and Programming
Strong written & verbal communication skills in English language
A comfort level with both giving and receiving respectful constructive critical feedback.
Good team player & ability to work under pressure.
Strong sense of commitment, responsibility and ownership",https://images.wuzzuf-data.net/files/company_logo/175739916962a6f34008a36-sm.png
Artificial Intelligence,Confidential,,Riyadh,Saudi Arabia,['Full Time'],Experienced,· 2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Artificial Intelligence', 'Computer Science', 'English', 'Information Technology (IT)', 'Software Engineering']","Develops required machine learning models or prototype applications, applying formulated AI recipes and verifying the problem/solution fit.
Understands the challenges in medical imaging and using state of the art solutions in AI and DL.
Participates in building new experiences, improves existing products, ensures quality assurance test designs and contributes to test systems architecture discussions.
Works alongside leading innovators in the field of deep learning and health care, plays a critical role in algorithm development.
Analyzes and evaluates data and builds deep networks to detect or predict features, while effectively balancing quality, availability, timeliness and cost factors.","BA/BS degree in computer science or related discipline is required, MS degree is preferred.
Good command of the English language required (spoken and written).","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFQAAABUCAMAAAArteDzAAAAulBMVEUAAAC/v7+/v7+vv8+vt8exvsu1usqzvcuyu8izu8izu8ezusizvMm0vMiyusqzusmzu8q0u8iyu8iyusizu8mzusiyvMmzvMq0usmzusmyvMi0u8mzu8q0u8mzvMmzu8m0usqzu8q0u8izu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8qzu8mzu8mzu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8n///+qvQnLAAAAPHRSTlMABAgQICcwNjg8QEpQWGBkZXB0foCCiJScoKOmrLCyuLq/xM7Q09bZ4OHi5OXn6Ozu8PHy8/T29/r7/f6LHBTRAAAAAWJLR0Q90G1RWQAAAcpJREFUWMPtmFtPwkAYRBHWokUrrXipWuSmVLxWsIJ+//93earZB9FtSqhoZOdhhgnkEFiaASoVKyur1WunhXZKhoaCQgstSVsuOs+g59mtrVKgsXxSbKF/DqrEKLUm0JckSZ5IIiGeiJeloQPSJauVSpVwqYM1gl4qpXbJTaU2iV3q5d88/aHjOHtk3XHqxB51aE9/Oeg0juM78iqOr4g76nRp6I3v+0dk4PsBcUS9WQCq3M+q5b/82tzDv3+a1txH0c2HunMPb/029CEMw2z0T8LwJJt+6sNi0E4URTO5xfsa+kjpke0oahM96qOG9im3MsM7OdDszU4kwr0iL9+jRJJ8fE7+ATTwPC+VPn6soSPKIdn0vCZxSB1p6DGlLyke5EDH7+s2w1MNNQ4f0JQye79rbA/KBN1m1sbSwQMNNQ4f0IDSkTG+vdhlahy+wpdpg1mbSBff11Dj8AHdp3Rlgjfs6Zug18zaq6T4vYYahw/oPSWVV/w6B3rArD3LBX6qocbhA3pKuZBn/MAelAl6xqxNZYT3igxfjzKSKX626svUQtcW+vX7adU1qlrw+2n52lAlaKP4j7viUquA1lolqGb/Eray+gG9ASKwq1bDF0K7AAAAAElFTkSuQmCC"
Sales Engineer,IBIS SUPPLIES,New Cairo, Cairo,Egypt,['Full Time'],Experienced,· 3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Sales/Retail', 'Engineering - Mechanical/Electrical', 'sales skills', 'Engineering', 'Sales', 'Sales Target', 'English', 'Sales Engineering']","Main Goal 
Creating new accounts of customers, maintain and develop 
Achieving ethically and professionally the targets and hit rate of pipeline 
Seeking for available opportunities to expand the pipeline, and deep follow up for increasing hit rate and meet the budget
 In addition:
Provide necessary support to the executive manager; information, data and any required
Feedback.Perform all the necessary typing and editing of memos, e-mail correspondence and follow up.
 Operate, carefully and efficiently, a variety of standard office machine, including personal
Computer and a variety of computer software, phone, fax, calculator, Photocopy machine.
Maintain regular consistent and professional attendance, punctuality, personal appearance and
Full awareness of relevant health and safety procedures.
Establish and maintains efficient, effective, reliable and friendly communication channel with customers, suppliers, Co-workers, supervisors and other colleagues.
Respond positively and diligently to colleagues’ requests and contribute to company strategy and
Policy- making as required.","Preferred Airports equipment’s and systems experience
High sales skills and negotiation, High ability for learning, customer oriented, 
Joining in implementing market intelligence for the scope of the company 
Close follow up for the market situation and changes 
Presentable, smart, active, good command in English language",https://images.wuzzuf-data.net/files/company_logo/IBIS-SUPPLIES-Egypt-81445-1661695292-sm.png
Senior Python / Django Developer,RDI,Dokki, Giza,Egypt,['Full Time'],Experienced,· 2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Django', 'Python', 'MySQL', 'GIT', 'Docker', 'javaScript', 'Angular', 'RESTful APIs']","RDI is looking for a design-minded Python / Django senior developer who must bring extensive, expert-level experience in Python / Django with the desire to deliver quality code. The developer will work on projects related to machine learning algorithms that will allow you to wear many hats and flex both technical development, collaborative and communication skills.
Responsibilities:
Participating in architectural, design and product discussions.
Working closely with UX and Front-end Developers.
Develop cloud-based Python Django software products.
Designing and creating RESTful APIs for internal and partner consumption.
Writing reusable, testable, and efficient code.","Requirements:
2+ years of on-the-job software engineering experience.
Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.)
Knowledge of how to build and use RESTful APIs.
Experience with modern JavaScript frameworks such as React.
Proficiency using industry standard 3rd party tools such as Docker.
Strong knowledge of version control (git).
Experience deploying Python applications into production.
Understanding of the threading limitations of Python, and multi-process architecture.
Knowledge of user authentication and authorization between multiple systems, servers, and environments.
Strong unit test and debugging skills.
Google Cloud Platform (GCP) knowledge is a plus.
Experience working in Linux environments and basic shell is a plus.",https://images.wuzzuf-data.net/files/company_logo/RDI-Egypt-5083-1579615010-sm.png
Business Analyst,Streams,Dokki, Giza,Egypt,['Full Time'],Experienced,· 4+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Information Technology (IT)', 'Communication skills', 'Computer Science', 'Microsoft Office', 'Software', 'analytical']","Prepares detailed analysis documents with defined and appropriate techniques for functional and non-functional requirements.
Develops innovative solutions for customers’ requirements and participates in the lifecycle development process of product definition through design, development, test, release, and maintenance.
Works with the technology and business groups to define project specifications.
Develops tools and frameworks and enhances the efficiency of the development, test, and release processes.
Supports developers and QC engineers by clarifying requirements or business concerns generated anytime within the lifecycle development process.
Communicates effectively with product owners’ insights and supports cross-functional team members and management.
Delivers daily status reports to the department manager.
Collaborates and communicates proactively with clients and internal teams to analyze functional requirements and the appropriate project scope according to business needs.
Translates complex business, functional and technical requirements into detailed work tasks and prepares project scope statements.
Develops requirement specifications according to standard templates.
Reviews the documents with the direct manager and the technical team, before finalizing and versioning it.","Bachelor’s Degree in Computer Science
4+ years of proven experience
Knowledge of software technology, computer programming experience, and broad business knowledge.
Proficient in Microsoft Office programs (Access, Excel, Project, PowerPoint, etc.) and Software Design Tools.
Ability to elicit and document functional requirements, write specifications, use cases, and design user interface requirements for applications.
Positive attitude even under high pressure and stressful situations
Strong problem solving and analytical skills
Advanced organization skills to manage teams, resources, processes, and time to achieve a target result within the stipulated timeframe.
Strong oral and written communication skills. 
Knowledge of machine learning / AI is a plus",https://images.wuzzuf-data.net/files/company_logo/Streams-Egypt-23121-1639400513-sm.png
Microsoft CRM Developer,Perfect Presentation,6th of October, Giza,Egypt,['Full Time'],Experienced,· 3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Dynamics', 'Microsoft Dynamics', 'Development', 'Microsoft', 'Information Technology (IT)', 'Computer Engineering', 'Computer Science']","Writing and documenting the technical specifications and requirements for the planned work from the application consultant ·
Create and maintain a scheme to support system requirements and adherence to Al Majed for Oud standards, policies, and procedures ·
Develop software and identify and resolve website errors on Microsoft Dynamics to improve user experience · Building plans for integrating Dynamics with systems and external resources using SOAP, XML, and REST APIs along with various integration patterns. ·
Configure and customize Microsoft Dynamics 365 applications using native and custom forms, entities, plug-ins (JavaScript, C#), Microsoft Flows, X++, .NET, PowerBI, PowerApps, Azure IoT Suite, AppSource, third-party applications, and Azure Machine Learning, SSRS Reports ·
Design technical solutions that support the exchange of channels that serve as the basis for the introduction of routed data throughout the application ·
Ensure that all solutions are lightweight scalable, completely secure and designed with an appropriate level of quality ·
Plan and implement system developments, and provide updates on a regular basis to internal and external clients
• Follow all relevant policies, processes, standard operating procedures and instructions and ensure work is carried out in a controlled and consistent manner ·
• Contribute to the identification of opportunities for continuous improvement of systems, processes and practices, taking into account leading practices, improvement of business processes, cost reduction and productivity improvement ·
• Promote the implementation and adherence to relevant policies, processes and operating procedures to others","Skills
Minimum of 3 years of experience in systems administration and development ·
Knowledge of managing and configuring Microsoft Dynamics systems
Bachelor's degree or diploma in Computer Science, Computer Engineering or similar field",https://images.wuzzuf-data.net/files/company_logo/PERFECT-PRESENTAION-Egypt-10124-sm.png
Junior Innovation Hub Engineer,Nile University,6th of October, Giza,Egypt,['Full Time'],Entry Level,· 0 - 2 Yrs of Exp,"['Engineering - Mechanical/Electrical', 'Engineering', 'Innovation and Creativity', 'Mechanical Engineering', 'Design', 'Innovation', '3D Printing', 'English', 'Electronics', 'Communication']","Assist lab visitors with technical support.
Provide lab visitors with required materials and tools.
Organize the use of lab facility.
Maintain lab machines regularly.
Assist researchers with their experimental work.
Plan the lab’s future needs and requirements.
Cooperate with industry partners who develop prototypes using lab facilities.
Organize Competitions for undergraduates that promotes their technical knowledge.
Supports the university’s startups through prototyping and logistics.
Assist in ongoing project’s in the University’s Campus.
Develop documents that is for communication with other departments.
Participate in the moderation of the innovation hub Facebook page.
Proactively joins ongoing research projects.","Bachelors degree in Electronics, Communication, Mechatronics, or Industrial Engineering 
Basic Solid-works knowledge.
Basic PCB design and fabrication knowledge.
3D printing experience is a plus.
Highly familiar with Microsoft office apps.
Very good written English.
Self-motivated.
Proactive.
Open to learn new skills.
Adaptive to different tasks and ready to deal with different technologies.",https://images.wuzzuf-data.net/files/company_logo/Nile-University-Egypt-30674-1517751129-sm.png
Computer Vision Engineer,Edentech,,Cairo,Egypt,['Full Time'],Experienced,· 4 - 9 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'computer', 'Computer Engineering', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Git', 'Software Development']","Responsibilities:
Maintain our computer vision libraries
Explore and analyze video and images through image processing
Implement various segmentation techniques. 
Research, develop, evaluate and optimize various computer vision and deep learning models for    different problems.
Communicate with other teams to gather requirements
Create unit tests, documentation, and examples for the maintained libraries","Requirements:
Bachelor's degree in the areas of Computer Science/Computer Engineering, Engineering or any other related fields 
Technical skills:
Experience with C/C++ and Python is a must
Experience in Image Processing is a must
Experience in Computer Vision is a must
Experience with any machine/deep learning frameworks like Tensorflow and PyTorch
Experience in training models through GPU computing using NVIDIA CUDA or on cloud.
Experience in Mathematics is a must (linear algebra/statistics)
Experience with high-performance computing (vectorization, multi-threading) is a plus
Familiarity with source control tools (git) ",https://images.wuzzuf-data.net/files/company_logo/2104676957628cb3e35a6ab-sm.png
Senior Data Engineer,Edentech,,Cairo,Egypt,['Full Time'],Experienced,· 5 - 12 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'Engineering', 'Programming', 'Communication skills', 'Java', 'Software']","About the Role
We address Data at Eden tech as a top priority for driving success into various functions adapting our heterogenous datasets to formulate data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full data infrastructure developing, maintaining, and testing for data generation. Data Engineer has a deep expertise in building large-scale data processing systems by using the latest database and data processing technologies.
We are looking for a savvy Data Engineer to join our growing team of analytics experts. Excited to be responsible for building and expanding our data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. 
The ideal candidate enjoys optimizing data systems and building them from the ground up. 
The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. striving for operational excellence along with igniting innovative ideas hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities
Create and maintain, with the team, an optimal data pipeline architecture. Build, deploy, and maintain distributed data analytics systems using Hadoop/Spark, Python, Java , Go , Scala, and C/C++
Assemble large, complex data sets that meet functional / non-functional requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal loading of data from a wide variety of data sources using SQL and big data technologies.
Work with stakeholders including the Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Identify gaps and improve the platform’s quality, robustness, and speed
Meet customer requirements in terms of availability, reliability, functionality, and performance","Results-oriented, determined and having a self-driven attitude
Deep Understanding of CS (Data Structure , Algorithms , Data Sterilization , Discreate Mathematics , CLI , Shell Scripting , networking, and corn jobs )
Proven Experience in programming languages like (Java , Python , Scala)
Deep Understanding Concurrent Distributed systems (Times, Clocks ,Ordering of events , Broadcasting and Replication )
Deep understanding of relational and non-relational databases
Deep understanding Data warehouse
Concepts (Data Modeling, OLAP, OLTP , Denormalization ,Different Schemas
Engines like Snowflake , Hive , Impala , Google Big Query , Amazon Redshift
Deep understanding Data Lakes (Delta Lake , Databricks , Amazon Athena , Azure data lake)
Deep understanding of Data Processing Engines (PIG , Spark , Flink , NIFI , Kafka , Storm)
Workflow Managing systems (Airflow , Luigi , Google Composer)
Basics understanding and implementing Machine Learning (TensorFlow, Spark MiLB)
Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. In both batch and real-time data integration.
Working knowledge of stream processing, and highly scalable ‘big data’ data stores and messaging systems (Rabbit MQ , Pub Sub , Amazon SNS)
Excellent communication skills, both verbally and in writing, to be able to align with various stakeholders and cross border squads
Understanding data privacy and security (data governance, key management, encryption)
Understanding Cluster Computing (AWS , Azure, GCP) is preferred.
Understand software testing (Unit Testing , Functional testing , Integration testing) is preferred.
Understanding identity and access management (active directory) is preferred.",https://images.wuzzuf-data.net/files/company_logo/2104676957628cb3e35a6ab-sm.png
Product Manager,Fab-Minds,Sheraton, Cairo,Egypt,['Full Time'],Experienced,· 2+ Yrs of Exp,"['Business Development', 'Operations/Management', 'Manufacturing/Production', 'Communication skills', 'Product Management', 'Sales', 'English', 'Management', 'Product', 'Information Technology (IT)']","Job Description:
Fab-Minds is looking for a Product Manager professional to lead and manage the product from concept to launch. Part of this management is owning the product roadmap, and translating the product concepts, features and USE cases into full functional specifications that developers can immediately use to start building features. The job will include interaction with many other engineering and non-engineering functions inside the company both in-site and overseas to ensure the delivery of high-quality solutions that meets our needs.
To be successful in this role, you must be able to engage in early stages of the definition and development of different parts of the product. You must also possess impressive Entrepreneurship and leadership skills and must have experience in leading the development of complete market-ready software-oriented solutions. You must also be able to interact and handle the communication with different technical and non-technical stakeholders and formulate their requirements into functional requirements and eventually into Mobile App solutions.

Roles and Responsibilities:
 Build and own a vision, strategy and multi quarter road map.
Break the vision into epics and stories, prioritize and own the backlog of the dedicated team. 
Managing and prioritizing the product backlog.
Study the market and the competition to be able to successfully identify growth areas and channels.
Define the product user experience scenarios, identify risks and provide the appropriate solutions.
Create different and numerous revenue streams.
Create concrete plans with risk mitigation, deliverables & milestones.
Work with the executive team to successfully raise a series A funding in 6 to 9 months.
Coordinate and work closely with the engineering & AI team to successfully migrate and integrate new features with the mob app.
Participate in the formulation of and follow-up on the training of junior and senior software engineers.
Participate in the recruitment of key software engineering personnel in the company.
Collaborate with system architects, business analysts and other stakeholders to design, develop, and maintain high-quality and user-friendly products.
Participate in the deployment plans of validated codes on different system platforms.
Provide near-accurate estimates for software development activities and ensure its suitability to strategic objectives of the product releases.
Interface with other teams and stakeholders to align the requirements with software plans.
Provide high-quality reports for senior engineers on both the work progress and development plans. ","Bachelor’s degree in Computer Science or other related majors.
2+ years of experience in Mobile Apps product management.
Experience in mobile-app development for cross-platform deployment.
Strong UX/UI experience.
Experience in user engagement.
Experience with IOT.
Experience in machine learning, computer vision, and AI is a plus.
Familiarity of different software development processes such as agile development.
Ability to multi-task and follow-up with tight project schedules.
Internally motivated and possess the ability to motivate teams to achieve high altitudes.
Excellent interpersonal and leadership skills to interact and lead junior engineers.
Excellent written & spoken communication skills in English.",https://images.wuzzuf-data.net/files/company_logo/Fab-Minds-Egypt-56056-1597155070-sm.png
Senior Python Developer,FlairsTech,Maadi, Cairo,Egypt,['Full Time'],Experienced,· 3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Applications', 'Computer Science', 'Design', 'Engineering', 'Implementation', 'Software Development', 'Information Technology (IT)', 'Mathematics']","Propel your journey!
Do you want to work in an exciting, rewarding, and collaborative environment where you are appreciated and valued?
Are you passionate about IT, software development, business solutions, BPO, customer operations, etc.? Are Innovation, Talent, and Excellence part of your DNA?
We are an international IT and Software Services company that provides exceptional experiences to customers around the world from our five offices in Egypt, Canada, and Poland. Over 70 global partners rely daily on our 800+ employees for superior Software Development and BPO/ Customer Operations services, as well as innovative Business Solutions.
We are growing – and fast. Join us, and let's grow together! Apply now.
Responsibilities:
Software Developers with Python development and/or Networking Knowledge working on a support/maintenance type of environment.
Solid understanding of fundamental design patterns and principles required for building scalable applications composed of reusable componentry.
Key understanding of industry best practices with regard to the implementation of software security and data protection principles.
Experience with user authentication and authorization between multiple systems, servers, and environments.
Strong familiarity with SQL, relational DB schema design, and optimization to appropriately represent and support requisite business processes.
Integration with data storage solutions includes relational databases, key-value stores, and a variety of AWS-based services.
Significant experience and comfort with, at least, one Python web framework with a preference towards Django. Flask, Falcon, and other Python web framework experience are also highly valued.
Proficient experience with building Test-Driven Development.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
Strong understanding of code versioning tools specifically Git and using Git Flow.
Fundamental experience using Python in the context of machine learning or artificial intelligence (AI) systems.","Requirements:
Bachelors degree in Software Engineering or Mathematics related discipline, with GPA of 3.0 or higher (or the equivalent)
Strong experience with the design and implementation of low-latency, high-availability, and performant applications.
3 or more years of experience Developing Software Applications within a small to the medium-sized team using primarily Python 2/3.",https://images.wuzzuf-data.net/files/company_logo/Flairstech-Egypt-1631-1624875613-sm.png
Senior Full Stack Instructor,Confidential,,Cairo,Egypt,['Full Time'],Experienced,· 3 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'PHP', 'PHP Development', 'PHP Web Development', 'Python', 'python development', 'CSS3', 'HTML5']","Supervise, educate and support students to help them accomplish learning benchmarks.
Consistently meets the department's KPI.
Continuously developing technical training courses based on the market need.
Train new technical staff.
Create new ways to increase customer satisfaction.
Increase technical knowledge for the sales team and prepare technical proposals.
Work with the marketing department to determine product-market fit and maximize marketing efficiency.
Work to succeed in any software development projects or outsourcing deals.","University degree in Computer Science, Software Engineering, or similar
6-7 years of experience.
Strong knowledge with HTML5, CSS3, Bootstrap, JavaScript, React.js
Strong software development knowledge of Python and PHP
Strong Knowledge with SQL data base design
EXPERT in building APIs using Django REST
Good Knowledge with Versioning (GIT)
Deployment (knowledgeable with hosting services preferably on Linux machines)
Strong knowledge of MVVM
The VUE framework is a must.
V.Good knowledge of relational databases.
Excellent knowledge of Design Patterns and OOP basics.
Laravel framework is a must.
Very good English.
Presentable.
Excellent Communication Skills.","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFQAAABUCAMAAAArteDzAAAAulBMVEUAAAC/v7+/v7+vv8+vt8exvsu1usqzvcuyu8izu8izu8ezusizvMm0vMiyusqzusmzu8q0u8iyu8iyusizu8mzusiyvMmzvMq0usmzusmyvMi0u8mzu8q0u8mzvMmzu8m0usqzu8q0u8izu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8qzu8mzu8mzu8mzvMmzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8mzu8n///+qvQnLAAAAPHRSTlMABAgQICcwNjg8QEpQWGBkZXB0foCCiJScoKOmrLCyuLq/xM7Q09bZ4OHi5OXn6Ozu8PHy8/T29/r7/f6LHBTRAAAAAWJLR0Q90G1RWQAAAcpJREFUWMPtmFtPwkAYRBHWokUrrXipWuSmVLxWsIJ+//93earZB9FtSqhoZOdhhgnkEFiaASoVKyur1WunhXZKhoaCQgstSVsuOs+g59mtrVKgsXxSbKF/DqrEKLUm0JckSZ5IIiGeiJeloQPSJauVSpVwqYM1gl4qpXbJTaU2iV3q5d88/aHjOHtk3XHqxB51aE9/Oeg0juM78iqOr4g76nRp6I3v+0dk4PsBcUS9WQCq3M+q5b/82tzDv3+a1txH0c2HunMPb/029CEMw2z0T8LwJJt+6sNi0E4URTO5xfsa+kjpke0oahM96qOG9im3MsM7OdDszU4kwr0iL9+jRJJ8fE7+ATTwPC+VPn6soSPKIdn0vCZxSB1p6DGlLyke5EDH7+s2w1MNNQ4f0JQye79rbA/KBN1m1sbSwQMNNQ4f0IDSkTG+vdhlahy+wpdpg1mbSBff11Dj8AHdp3Rlgjfs6Zug18zaq6T4vYYahw/oPSWVV/w6B3rArD3LBX6qocbhA3pKuZBn/MAelAl6xqxNZYT3igxfjzKSKX626svUQtcW+vX7adU1qlrw+2n52lAlaKP4j7viUquA1lolqGb/Eray+gG9ASKwq1bDF0K7AAAAAElFTkSuQmCC"
